_id,telkinio_pav,m_vietos_pav,data,vandens_temp,suspend_medziagos,sarmingumas,deguon_istirpes,ph,elektr_laidis
36fc2903-3c06-4e7b-9f79-6127886e1c23,NERIS,Neris ties Buivydžiais,2017-12-04,2.2,6.5,2.9,10.29,7.51,397.0
ec771e3a-28b7-419a-b263-1722ced02a89,NERIS,Neris aukščiau Panerių,2018-01-08,1.8,5.7,3.26,13.23,8.07,391.0
3ade6d1c-3f77-4a64-9b41-c0317f0cd7c2,NERIS,Neris ties Buivydžiais,2018-01-08,1.6,2.5,3.19,12.52,8.42,392.0
5c6dfd24-e8aa-4b29-97ab-00c13d9740e1,NERIS,Neris aukščiau Kauno,2018-01-09,2.1,34.0,4.0,9.8,8.1,441.0
ebe352d9-ec6b-41f1-abaf-99786afd05d3,NERIS,Neris aukščiau Panerių,2018-02-05,0.1,7.7,3.4,13.69,8.05,394.0
04564b06-91ce-439c-b4f2-661341b3fc90,NERIS,Neris ties Buivydžiais,2018-02-05,0.1,5.7,3.5,13.28,8.15,400.0
7ecdebfd-c0ad-4550-8670-90cc5344fada,NERIS,Neris žemiau Tuščiaulių,2018-02-05,0.1,4.4,3.8,13.38,8.01,385.0
cd11d768-5833-484a-b3e9-724508386c7a,NERIS,Neris aukščiau Kauno,2018-02-06,0.4,9.7,3.7,10.5,8.2,419.0
815d3bc3-f789-479d-acdf-f5ee043f32fd,NERIS,Neris ties Buivydžiais,2018-03-05,0.1,2.6,3.3,12.19,8.05,450.0
a7baeb2b-c3ed-4d28-a6db-9bd4e30b627d,NERIS,Neris aukščiau Panerių,2018-03-05,0.1,2.6,3.3,12.01,8.28,469.0
ff2c5e96-f64c-45c6-a6e7-fa6cc79f23ad,NERIS,Neris aukščiau Kauno,2018-03-06,0.8,4.7,4.7,12.8,8.0,579.0
4d73cb2f-ff95-43e4-879d-00065ead5669,NERIS,Neris ties Buivydžiais,2018-04-09,7.1,6.4,2.5,10.63,7.98,327.0
b3bb15bf-887c-4e39-8d56-983a6cae72d9,NERIS,Neris aukščiau Panerių,2018-04-09,7.2,15.0,2.6,11.63,8.07,334.0
25eb75db-15b5-4ca9-8a62-d6e3bfcdb94f,NERIS,Neris aukščiau Kauno,2018-04-10,8.7,19.0,3.4,11.2,8.2,385.0
ab1b751a-9d4a-47fb-81d0-918b2d773789,NERIS,Neris ties Buivydžiais,2018-05-07,15.4,11.4,3.7,7.79,8.11,374.0
15284ff5-fb95-4822-90a7-6bad563f70fd,NERIS,Neris aukščiau Panerių,2018-05-07,16.0,12.9,3.4,8.91,8.15,381.0
e4706129-f5de-4030-b43f-af0c6560bee7,NERIS,Neris žemiau Tuščiaulių,2018-05-07,15.0,8.2,3.6,7.78,8.08,368.0
1bb03618-8d5e-4376-96a2-844771174f1c,NERIS,Neris aukščiau Kauno,2018-05-08,18.1,15.0,4.0,12.0,8.5,426.0
69a640a1-f7cb-4e16-8489-a291508da676,NERIS,Neris aukščiau Panerių,2018-06-04,20.9,10.8,3.1,11.42,8.39,374.0
5e83c265-df94-439c-abc2-f769bd34521e,NERIS,Neris ties Buivydžiais,2018-06-04,20.7,15.1,3.3,11.75,8.59,366.0
440dd40d-9d52-46fa-a248-6025908b7fd9,NERIS,Neris aukščiau Kauno,2018-06-05,21.2,29.0,3.8,10.0,8.5,422.0
f1326bf8-0292-45c1-9696-fc043cb50f78,NERIS,Neris aukščiau Panerių,2018-07-02,15.7,8.9,4.4,9.64,8.27,380.0
0bbc2e3d-6852-4fec-aee4-fba36e05dae5,NERIS,Neris ties Buivydžiais,2018-07-02,15.1,7.9,4.3,9.65,8.36,372.0
8feeea8e-436f-4ba0-b32f-51a3b9c87ebb,NERIS,Neris aukščiau Kauno,2018-07-03,16.6,12.0,3.9,9.1,8.3,578.0
190ee53a-4d2a-4641-b1a7-12391641bc2d,NERIS,Neris aukščiau Panerių,2018-08-06,22.7,13.7,3.5,9.8,8.72,396.0
1fe8cfe3-abb8-491d-a63c-8894b3c164e1,NERIS,Neris žemiau Tuščiaulių,2018-08-06,22.3,8.8,3.3,8.61,8.5,395.0
87fb3b96-ef36-421e-9ec3-806c9879b064,NERIS,Neris ties Buivydžiais,2018-08-06,22.5,7.3,3.4,8.91,8.38,392.0
169495cf-9b79-40f5-982c-a5f3e7343e92,NERIS,Neris aukščiau Kauno,2018-08-07,21.6,4.6,3.9,7.6,8.2,446.0
6700a42d-6cd2-491b-b733-3b343fcdd01e,NERIS,Neris aukščiau Panerių,2018-09-03,18.1,9.6,3.5,9.95,8.19,407.0
6485e46b-34b4-48ce-bd35-f8794eeb9f45,NERIS,Neris ties Buivydžiais,2018-09-03,18.0,10.0,3.5,8.79,8.2,398.0
4c743c37-7f7c-4adf-bed6-73bb378e5cc0,NERIS,Neris aukščiau Kauno,2018-09-04,18.7,19.0,4.0,9.5,8.7,453.0
716eb7c4-7f36-477a-9d98-728285f60f2d,NERIS,Neris žemiau Tuščiaulių,2018-09-21,16.2,19.0,3.6,8.78,8.36,390.0
cbf63269-bc0e-411e-9fa9-4ceeecc129aa,NERIS,Neris aukščiau Panerių,2018-10-01,9.9,8.0,3.5,10.76,7.96,404.0
15dccd81-d0e2-4e1d-b048-ac1bfae5e7e8,NERIS,Neris ties Buivydžiais,2018-10-01,9.5,6.9,3.6,10.12,7.71,401.0
76629cf1-fb55-424b-87f0-2593ebdb4df5,NERIS,Neris aukščiau Kauno,2018-10-02,11.3,6.0,4.2,12.4,8.3,551.0
1be1c897-ba83-41d8-83b7-98643c7871c6,NERIS,Neris aukščiau Panerių,2018-11-05,8.0,6.1,3.7,11.22,8.2,425.0
9e3b61b0-bab2-4840-871e-4ddbb212aae7,NERIS,Neris ties Buivydžiais,2018-11-05,7.5,4.0,3.7,10.42,8.17,420.0
e9c9e68d-188b-4b31-badc-16d902903f49,NERIS,Neris aukščiau Kauno,2018-11-06,8.6,7.6,4.5,9.8,8.5,559.0
86fe4ac5-3f0f-4745-802d-9aecc305fb13,NERIS,Neris aukščiau Panerių,2018-12-03,0.2,2.9,3.7,13.15,7.59,462.0
4530758c-edc4-460f-ab27-8a7a401925c1,NERIS,Neris ties Buivydžiais,2018-12-03,0.2,3.0,3.6,12.94,6.98,446.0
6c512488-3912-4baa-affd-d0ac3a5aa4f8,NERIS,Neris aukščiau Kauno,2018-12-04,0.9,4.0,4.6,12.6,8.7,542.0
24b22942-70da-4df4-b4d0-51fff6d23dcb,NERIS,Neris ties Buivydžiais,2019-01-07,0.1,2.2,3.8,12.48,8.21,452.0
1b671fd1-381e-4190-aaa1-5fa2b6b70543,NERIS,Neris aukščiau Panerių,2019-01-07,0.2,3.7,3.8,12.62,7.87,447.0
de7367a4-1a11-44f0-a4c7-c4926ef3f6bc,NERIS,Neris aukščiau Kauno,2019-01-08,0.3,5.5,4.4,12.7,8.6,535.0
