_type,_id,_revision,_page.next,telkinio_pav,m_vietos_kodas,m_vietos_pav,koord,data,debitas,sroves_greitis,vandens_temp,suspend_medziagos,sarmingumas,deguon_istirpes,deguon_prisotinimas,ph,elektr_laidis,biochem_deg_suvartojimas,amonio_azotas,nitritu_azotas,nitratu_azotas,azotas_mineralinis,azotas_bendras,fosfatu_fosforas,fosforas_bendras,chem_deg_suvartojimas,anglingumas,chloridai,kalcis,kalis,magnis,natris,sulfatai,chlorofilas_a,kalcio_karbonatas,gyvsidabris,kadmis,nikelis,svinas,varis,chromas,vanadis,aliuminis,alavas,arsenas,cinkas,antracenas,fluorantenas,naftalenas,benz_a_pirenas,benz_b_fluorantenas,benz_k_fluorantenas,benz_ghi_perilenas,inden_123_cd_pirenas,p4_n_nonilfenolis,p4_n_oktilfenolis,p4_nonilfenolis,p4_nonilfenolis_sakot,p4_n_nonilfenolis_sakot,p4_tert_oktilfenolis,p4_t_oktilfenolio_dietoksilatas,p4_t_oktilfenolio_monoetoksilatas,p4_t_oktilfenolio_trietoksilatas,nonilfenoliai,pentachlorfenolis,benzenas,p12_dichloretanas,p123_trichlorbenzenas,p124_trichlorbenzenas,heksachlorbutadienas,trichloretilenas,tetrachlormetanas,dichlormetanas,tetrachloretilenas,trichlormetanas,aldrinas,dieldrinas,izodrinas,endrinas,alfa_heksachlorcikloheksanas,beta_heksachlorcikloheksanas,gama_heksachlorcikloheksanas,heksachlorbenzenas,pentachlorbenzenas,alfa_endosulfanas,beta_endosulfanas,o_p_ddt,p_p_ddd,p_p_ddt,p_p_dde,simazinas,atrazinas,diuronas,izoproturonas,chinoksifenas,aklonifenas,cibutrinas,terbutrinas,chlorpyrifosas,chlorfenvinfosas,trifluralinas,heptachloras,heptachloro_epoksidas,tributilalavo_katijonas,di2_etilheksilftalatas,chloralkanai,hbcdd,bde_28,bde_47,bde_85,bde_99,bde_100,bde_153,bde_154,pcb_28,pcb_52,pcb_101,pcb_118,pcb_138,pcb_153,pcb_180,p17_alfa_etinilestradiolis,p17_beta_estradiolis,estronas,eritromicinas,klaritromicinas,azitromicinas,amoksicilinas,ciprofloksacinas,diklofenakas,p26_di_tret_butil_4_metilfenolis,tiametoksamas,tiaklopridas,metiokarbas,oksadiazonas,trialatas,klotianidinas,imidaklopridas,acetamipridas,pfba,pfpea,pfhxa,pfhpa,pfoa,pfnr,pfda,pfunda,pfdoda,pfbs,pfhxs,pfhps,pfos,pfds,pfosa,dikofolis,alachloras,bifenoksas,cipermetrinas,dichlorvosas,hbcdd_izo_sum,pfos_dariniai,sulfametoksazolas,trimetoprimas,venlafaksinas,odesmetilvenlafaksinas,flukonazolas,penkonazolas,ipkonazolas,tebukonazolas,klotrimazolas,imazalilas,tetrakonazolas,dimoksistrobinas,famoksadonas,metaflumizonas,metkonazolas,mikonazolas,prochlorazas
datasets/gov/aaa/upiu_monitoringo_duomenys/UpiuValstybinioMonitoringoDuomenys,c349b026-eae6-4bbe-89d9-422baf8aa929,f8edcbb5-1e2d-4a29-a87b-bda482060363,,Voryčia,LTR1630,"Voryčia netoli žiočių, ties keliu Nr. 4213",POINT (6130638 335909),2022-05-10,0.92,0.45,13.0,16,3.8,8.0,76.19,7.7,389,4.7,0.16,0.012,0.41,0.582,1.6,"<0,006",0.063,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/upiu_monitoringo_duomenys/UpiuValstybinioMonitoringoDuomenys,c3561fef-a156-406c-88bf-a20829e30238,9985ade4-3097-4cd8-be96-571f01f368a1,,Upytė,LTR1567,Upytė ties Kirdoniais,POINT (6225709 535919),2017-02-21,,,1.9,12,4.6,12.13,87.266,7.8,783,2.8,0.13,0.048,7.5,7.678,12.0,0.11,0.12,46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/upiu_monitoringo_duomenys/UpiuValstybinioMonitoringoDuomenys,c362f1da-081b-45d1-9e27-364c6d91b08d,d030dd42-45b7-46b9-a961-811de0852c21,,Nemunėlis,LTR357,Nemunėlis ties Tabokine,POINT (6168903 539734),2021-04-19,15.4,0.59,11.6,3.5,5.0,9.98,91.982,8.2,476,2.6,"<0,01",0.016,3,3.026,3.4,0.011,0.025,46.4,15.9,8.79,97.0,3.1,23.0,6.92,84,,331.0,"<0,01","<0,1",<1,<1,2.5,<1,0.17,32,"<0,1",<2,<15,0.002,0.003,"<0,002",0.003,"<0,002","<0,002","<0,003","<0,003",,,,,,,,,,,,,,,,,,,,,,"<0,005","<0,005","<0,005","<0,005","<0,005","<0,005","<0,005","<0,005","<0,005","<0,004","<0,004","<0,005","<0,005","<0,005","<0,005","<0,05","<0,05","<0,05","<0,05","<0,05","<0,05","<0,05","<0,05","<0,5","<0,5","<0,5","<0,005","<0,005",,,,,"<0,005","<0,005","<0,005","<0,005","<0,005","<0,005","<0,005",,,,,,,,,,,,,,,,,,,,,,,,,,"<0,01",,,"<0,01",,,"<0,01",,"<0,01",,"<0,01",,,"<0,01",,"<0,001","<0,001","<0,001","<0,00005","<0,00005",,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/upiu_monitoringo_duomenys/UpiuValstybinioMonitoringoDuomenys,c3677d9d-a6cf-4962-9b7a-ab044f37c34e,08de69dd-a5dd-4490-90cf-7f049f451a9a,,NEMUNAS,LTR1,Nemunas aukščiau Druskininkų,POINT (5988125 497929),2021-02-01,152.0,0.76,0.0,5.5,2.8,10.8,73.72,7.8,540,4.0,0.387,0.021,1.9,2.308,2.7,0.049,0.086,30,,23.26,77.0,3.2,28.0,13.0,10.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<0,01","<0,01","<0,01","<0,01","<0,01","<0,01","<0,01","<0,01","<0,01","<0,01","<0,01","<0,01","<0,01","<0,01","<0,01",,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/upiu_monitoringo_duomenys/UpiuValstybinioMonitoringoDuomenys,c37b945a-2729-4721-a613-8e28b670f6fc,3624f189-56dd-477d-b4c4-798573222735,,Agluona,LTR1550,Agluona ties Kuteliais,POINT (6221582 549058),2017-02-21,,,1.8,11,3.9,12.01,86.155,7.7,661,1.9,0.16,0.034,1.8,1.994,4.9,0.054,0.061,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/upiu_monitoringo_duomenys/UpiuValstybinioMonitoringoDuomenys,c37bec40-8a34-4807-b502-b17b47e1cea1,a631f96e-ded3-4847-89d8-df9380bdc9e9,,Lėvuo,LTR385,Lėvuo aukščiau Stirniškio,POINT (6184062 553496),2017-04-24,2.26,,6.8,7,4.5,11.2,91.728,8.2,574,2.1,0.038,0.027,4.3,4.365,4.9,"<0,006",0.045,49.3,,16.1,94.0,2.56,28.0,6.63,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/upiu_monitoringo_duomenys/UpiuValstybinioMonitoringoDuomenys,c38529cd-0eb2-44e9-a89d-b56ec2493921,35761480-9df7-47b4-b3bf-00ae0e31f7a6,,Skroblus,LTR1301,Skroblus aukščiau Dubininko,POINT (5994838 519196),2017-09-04,0.43,,11.9,4,1.6,9.5,88.208,8.0,279,2.5,0.02,0.003,0.06,0.083,0.3,0.053,0.087,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/upiu_monitoringo_duomenys/UpiuValstybinioMonitoringoDuomenys,c38812f0-581c-4a53-9519-54ccc3cab2ce,7a6862bb-e9d2-49f9-83c4-1fa2e4bc44c4,,Gynia,LTR1471,Gynia ties Stankūnais,POINT (6103414 495509),2021-07-07,0.071,0.061,19.8,3.8,6.6,7.9,87.196,8.0,968,1.2,0.13,0.14,2,2.27,2.5,0.16,0.35,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/upiu_monitoringo_duomenys/UpiuValstybinioMonitoringoDuomenys,c3912692-d832-4918-be7c-d2893904e82d,985a5665-0535-475c-b708-0ab9db9a0367,,Nyka,LTR1624,Nyka aukščiau Ilguvos,POINT (6102326 456209),2017-10-04,0.06,0.11,10.8,7,7.4,8.9,80.47,8.35,796,2.7,0.1,0.019,6.5,6.619,7.2,0.049,0.89,32.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/upiu_monitoringo_duomenys/UpiuValstybinioMonitoringoDuomenys,c397cade-22a6-4eaf-81e4-daf7fd154ed0,e4dd3c97-381a-4cca-9c3b-7726fc47216e,,Šventoji,LTR327,"Šventoji ties Sabaliūnais, žemiau Andrioniškio",POINT (6160437 566254),2018-06-19,10.3,0.38,20.1,<2,5.1,7.7,85.556,8.3,500,3.1,0.05,0.003,0.07,0.123,0.14,0.014,0.038,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
